,Season,Round,Venue,Date,Home,GHome,GAway,Away,Winner
4495,2018.0,Regular Season,Dick's Sporting Goods Park,2018-10-06,COL,0.0,3.0,LAFC,LAFC
4496,2018.0,Regular Season,Toyota Stadium,2018-10-06,DAL,2.0,0.0,ORL,DAL
4497,2018.0,Regular Season,BMO Field,2018-10-06,TOR,1.0,2.0,VAN,VAN
4498,2018.0,Regular Season,Audi Field,2018-10-07,DC,2.0,1.0,CHI,DC
4499,2018.0,Regular Season,CenturyLink Field,2018-10-08,SEA,4.0,1.0,HOU,SEA
4500,2018.0,Regular Season,Banc of California Stadium,2018-10-12,LAFC,4.0,2.0,HOU,LAFC
4501,2018.0,Regular Season,TCF Bank Stadium,2018-10-13,MIN,0.0,2.0,COL,COL
4502,2018.0,Regular Season,Audi Field,2018-10-13,DC,1.0,0.0,DAL,DC
4503,2018.0,Regular Season,Gillette Stadium,2018-10-13,NE,2.0,0.0,ORL,NE
4504,2018.0,Regular Season,Audi Field,2018-10-17,DC,1.0,0.0,TOR,DC
4505,2018.0,Regular Season,BC Place,2018-10-17,VAN,1.0,4.0,SKC,SKC
4506,2018.0,Regular Season,Exploria Stadium,2018-10-17,ORL,1.0,2.0,SEA,SEA
4507,2018.0,Regular Season,Rio Tinto Stadium,2018-10-18,RSL,4.0,1.0,NE,RSL
4508,2018.0,Regular Season,Audi Field,2018-10-21,DC,3.0,1.0,NYC,DC
4509,2018.0,Regular Season,TCF Bank Stadium,2018-10-21,MIN,1.0,3.0,LA,LA
4510,2018.0,Regular Season,Providence Park,2018-10-21,POR,3.0,0.0,RSL,POR
4511,2018.0,Regular Season,Exploria Stadium,2018-10-21,ORL,2.0,1.0,CLB,ORL
4512,2018.0,Regular Season,Subaru Park,2018-10-21,PHI,0.0,1.0,RBNY,RBNY
4513,2018.0,Regular Season,BBVA Compass Stadium,2018-10-21,HOU,2.0,3.0,SEA,SEA
4514,2018.0,Regular Season,Toyota Stadium,2018-10-21,DAL,0.0,3.0,SKC,SKC
4515,2018.0,Regular Season,Saputo Stadium,2018-10-21,MTL,2.0,0.0,TOR,MTL
4516,2018.0,Regular Season,Mercedes-Benz Stadium,2018-10-21,ATL,2.0,1.0,CHI,ATL
4517,2018.0,Regular Season,Dick's Sporting Goods Park,2018-10-28,COL,2.0,1.0,DAL,COL
4518,2018.0,Regular Season,BC Place,2018-10-28,VAN,2.0,1.0,POR,VAN
4519,2018.0,Regular Season,MAPFRE Stadium,2018-10-28,CLB,3.0,2.0,MIN,CLB
4520,2018.0,Regular Season,BMO Field,2018-10-28,TOR,4.0,1.0,ATL,TOR
4521,2018.0,Regular Season,Red Bull Arena,2018-10-28,RBNY,1.0,0.0,ORL,RBNY
4522,2018.0,Regular Season,Gillette Stadium,2018-10-28,NE,1.0,0.0,MTL,NE
4523,2018.0,Regular Season,Yankee Stadium,2018-10-28,NYC,3.0,1.0,PHI,NYC
4524,2018.0,Regular Season,CenturyLink Field,2018-10-28,SEA,2.0,1.0,SJ,SEA
4525,2018.0,Regular Season,Dignity Health Sports Park,2018-10-28,LA,2.0,3.0,HOU,HOU
4526,2018.0,Regular Season,Children's Mercy Park,2018-10-28,SKC,2.0,1.0,LAFC,SKC
4527,2018.0,Knockout round,Toyota Stadium,2018-10-31,DAL,1.0,2.0,POR,POR
4528,2018.0,Knockout round,Yankee Stadium,2018-10-31,NYC,3.0,1.0,PHI,NYC
4529,2018.0,Knockout round,Audi Field,2018-11-01,DC,2.0,2.0,CLB,CLB
4530,2018.0,Knockout round,Banc of California Stadium,2018-11-01,LAFC,2.0,3.0,RSL,RSL
4531,2018.0,Conference Semifinals,Providence Park,2018-11-04,POR,2.0,1.0,SEA,POR
4532,2018.0,Conference Semifinals,Yankee Stadium,2018-11-04,NYC,0.0,1.0,ATL,ATL
4533,2018.0,Conference Semifinals,MAPFRE Stadium,2018-11-04,CLB,1.0,0.0,RBNY,CLB
4534,2018.0,Conference Semifinals,CenturyLink Field,2018-11-08,SEA,3.0,2.0,POR,SEA
4535,2018.0,Conference Semifinals,Mercedes-Benz Stadium,2018-11-11,ATL,3.0,1.0,NYC,ATL
4536,2018.0,Conference Semifinals,Red Bull Arena,2018-11-11,RBNY,3.0,0.0,CLB,RBNY
4537,2018.0,Conference Semifinals,Children's Mercy Park,2018-11-11,SKC,4.0,2.0,RSL,SKC
4538,2018.0,Conference Finals,Mercedes-Benz Stadium,2018-11-25,ATL,3.0,0.0,RBNY,ATL
4539,2018.0,Conference Finals,Red Bull Arena,2018-11-29,RBNY,1.0,0.0,ATL,RBNY
4540,2018.0,Conference Finals,Children's Mercy Park,2018-11-29,SKC,2.0,3.0,POR,POR
4541,2018.0,MLS Cup 2018,Mercedes-Benz Stadium,2018-12-08,ATL,2.0,0.0,POR,ATL
4542,2019.0,Regular Season,Subaru Park,2019-03-02,PHI,1.0,3.0,TOR,TOR
4543,2019.0,Regular Season,Avaya Stadium,2019-03-02,SJ,1.0,2.0,MTL,MTL
4544,2019.0,Regular Season,CenturyLink Field,2019-03-02,SEA,4.0,1.0,CIN,SEA
4545,2019.0,Regular Season,BC Place,2019-03-02,VAN,2.0,3.0,MIN,MIN
4546,2019.0,Regular Season,Dignity Health Sports Park,2019-03-02,LA,2.0,1.0,CHI,LA
4547,2019.0,Regular Season,Audi Field,2019-03-03,DC,2.0,0.0,ATL,DC
4548,2019.0,Regular Season,Banc of California Stadium,2019-03-03,LAFC,2.0,1.0,SKC,LAFC
4549,2019.0,Regular Season,Rio Tinto Stadium,2019-03-09,RSL,1.0,0.0,VAN,RSL
4550,2019.0,Regular Season,BBVA Compass Stadium,2019-03-09,HOU,2.0,1.0,MTL,HOU
4551,2019.0,Regular Season,CenturyLink Field,2019-03-09,SEA,2.0,0.0,COL,SEA
4552,2019.0,Regular Season,Toyota Stadium,2019-03-09,DAL,2.0,0.0,LA,DAL
4553,2019.0,Regular Season,Avaya Stadium,2019-03-09,SJ,0.0,3.0,MIN,MIN
4554,2019.0,Regular Season,Gillette Stadium,2019-03-09,NE,0.0,2.0,CLB,CLB
4555,2019.0,Regular Season,Banc of California Stadium,2019-03-10,LAFC,4.0,1.0,POR,LAFC
4556,2019.0,Regular Season,Children's Mercy Park,2019-03-10,SKC,2.0,0.0,PHI,SKC
4557,2019.0,Regular Season,Dignity Health Sports Park,2019-03-16,LA,3.0,2.0,MIN,LA
4558,2019.0,Regular Season,SeatGeek Stadium,2019-03-16,CHI,2.0,4.0,SEA,SEA
4559,2019.0,Regular Season,Audi Field,2019-03-16,DC,5.0,0.0,RSL,DC
4560,2019.0,Regular Season,MAPFRE Stadium,2019-03-16,CLB,1.0,0.0,DAL,CLB
4561,2019.0,Regular Season,Exploria Stadium,2019-03-16,ORL,1.0,3.0,MTL,MTL
4562,2019.0,Regular Season,BBVA Compass Stadium,2019-03-16,HOU,3.0,2.0,VAN,HOU
4563,2019.0,Regular Season,Red Bull Arena,2019-03-16,RBNY,4.0,1.0,SJ,RBNY
